member_id,group_id,arm,X,base_rate,design_arm,objective,rr_penalty,tag_mix,tag_post,seconds,ok
12,17,exclude,0.3,0.857307582187031,exclude,95454.9740599561,89.5623322644,3879.240285481937,3686.21545102355,13.698812007904053,1
12,17,exclude,0.385,0.857307582187031,exclude,95068.2626403844,68.2497178644,3603.5579603074425,3596.4989709985884,13.780423164367676,1
12,17,exclude,0.47,0.857307582187031,exclude,94789.9203339026,57.6185434644,3401.0900040871734,3531.25579510741,13.718242645263672,1
12,17,exclude,0.5549999999999999,0.857307582187031,exclude,94591.7896266815,57.6688090644,3251.1894748939862,3482.9753514467616,13.625665426254272,1
12,17,exclude,0.6399999999999999,0.857307582187031,exclude,94456.6348433906,68.4005146644,3141.063165543735,3447.215171868313,13.323623418807983,1
12,17,exclude,0.7249999999999999,0.857307582187031,exclude,94373.0554758929,89.8136602644,3062.174837217892,3421.11098705045,14.07893991470337,1
12,17,exclude,0.81,0.857307582187031,exclude,94333.0820878638,121.908245864,3008.518290789442,3402.699559788489,13.814260959625244,1
12,17,exclude,0.895,0.857307582187031,exclude,94330.9069925659,164.684271464,2975.694538307783,3390.5721912746612,12.493759155273438,1
12,17,exclude,0.98,0.857307582187031,exclude,94362.1577825888,218.141737064,2960.3786214247543,3383.6814322496243,12.575921535491943,1
12,17,include,0.3,0.857307582187031,exclude,102276.400406079,89.5623322644,3476.7259657061036,4130.906835475782,20.231303930282593,1
12,17,include,0.385,0.857307582187031,exclude,95713.6830593032,68.2497178644,3210.2602595168973,3928.557628877535,19.156243324279785,1
12,17,include,0.47,0.857307582187031,exclude,94687.898924329,57.6185434644,3015.737229848053,3772.1716007430755,19.377306699752808,1
12,17,include,0.5549999999999999,0.857307582187031,exclude,94443.313078411,57.6688090644,2921.0498723533224,3646.284960444716,19.250186443328857,1
12,17,include,0.6399999999999999,0.857307582187031,exclude,94300.6391090104,68.4005146644,2875.1810728787686,3545.9268494819403,13.23177456855774,1
12,17,include,0.7249999999999999,0.857307582187031,exclude,94228.4893339117,89.8136602644,2848.2217439860774,3483.9316789577565,13.511577129364014,1
12,17,include,0.81,0.857307582187031,exclude,94199.7222856319,121.908245864,2831.6442579140016,3443.345717210466,13.690462112426758,1
12,17,include,0.895,0.857307582187031,exclude,94201.9551755737,164.684271464,2818.972391547414,3417.636549010395,13.426980257034302,1
12,17,include,0.98,0.857307582187031,exclude,94232.5039427223,218.141737064,2809.6033234997344,3404.219896162032,13.624578952789307,1
