member_id,arm,K,scheme,psi_release_weighted,psi_mean,n_groups_psi_ge_0p3,release_share_psi_ge_0p3
14,include,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
14,include,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
15,exclude,0.35,3. tag-seeding prior means (external anchor),0.22248944505041313,0.26478973099142517,35,0.24786892574010297
15,exclude,0.35,1. exclude-arm fitted rates (as published),0.2208096355770474,0.2611116190858337,35,0.24786892574010297
15,exclude,0.35,2. include-arm fitted rates,0.2189422086390475,0.259037685750772,33,0.24130266988303276
18,exclude,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
18,exclude,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
18,exclude,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
19,exclude,0.1,3. tag-seeding prior means (external anchor),0.725308349049955,0.6692290552411218,80,0.8971168179610949
19,exclude,0.1,1. exclude-arm fitted rates (as published),0.7140291366969562,0.6593207296268196,80,0.8971168179610949
19,exclude,0.1,2. include-arm fitted rates,0.7109941976132785,0.6557929989292296,79,0.8942593587370298
21,exclude,0.15,3. tag-seeding prior means (external anchor),0.5882811682277894,0.6080001201730497,77,0.8420117645107862
21,exclude,0.15,1. exclude-arm fitted rates (as published),0.5799410412253615,0.5987817551168751,77,0.8420117645107862
21,exclude,0.15,2. include-arm fitted rates,0.5772509100112216,0.5954968278552685,75,0.8334109058897963
22,include,0.15,3. tag-seeding prior means (external anchor),0.5882811682277894,0.6080001201730497,77,0.8420117645107862
22,include,0.15,1. exclude-arm fitted rates (as published),0.5799410412253615,0.5987817551168751,77,0.8420117645107862
22,include,0.15,2. include-arm fitted rates,0.5772509100112216,0.5954968278552685,75,0.8334109058897963
23,exclude,0.05,3. tag-seeding prior means (external anchor),0.7859567265388392,0.7180618334053582,84,0.9135021393826763
23,exclude,0.05,1. exclude-arm fitted rates (as published),0.7735410153422018,0.7065848853518906,84,0.9135021393826763
23,exclude,0.05,2. include-arm fitted rates,0.7709085699076681,0.7029560201781989,83,0.910644680158611
24,exclude,0.3,3. tag-seeding prior means (external anchor),0.22587092801057246,0.2687730323177176,35,0.24786892574010297
24,exclude,0.3,1. exclude-arm fitted rates (as published),0.22412734671454823,0.2649842809181649,35,0.24786892574010297
24,exclude,0.3,2. include-arm fitted rates,0.22227618452525355,0.26297932560991627,33,0.24130266988303276
25,include,0.25,3. tag-seeding prior means (external anchor),0.3160433466598645,0.34787725413904097,45,0.39196547456926306
25,include,0.25,1. exclude-arm fitted rates (as published),0.3116162399154101,0.34258196730537316,46,0.39407215235759174
25,include,0.25,2. include-arm fitted rates,0.3098683956646395,0.3403039297832473,44,0.3875058965005214
27,include,0.15,3. tag-seeding prior means (external anchor),0.5882811682277894,0.6080001201730497,77,0.8420117645107862
27,include,0.15,1. exclude-arm fitted rates (as published),0.5799410412253615,0.5987817551168751,77,0.8420117645107862
27,include,0.15,2. include-arm fitted rates,0.5772509100112216,0.5954968278552685,75,0.8334109058897963
29,include,0.1,3. tag-seeding prior means (external anchor),0.725308349049955,0.6692290552411218,80,0.8971168179610949
29,include,0.1,1. exclude-arm fitted rates (as published),0.7140291366969562,0.6593207296268196,80,0.8971168179610949
29,include,0.1,2. include-arm fitted rates,0.7109941976132785,0.6557929989292296,79,0.8942593587370298
30,exclude,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
30,exclude,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
30,exclude,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
31,exclude,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
31,exclude,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
31,exclude,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
32,include,0.1,3. tag-seeding prior means (external anchor),0.725308349049955,0.6692290552411218,80,0.8971168179610949
32,include,0.1,1. exclude-arm fitted rates (as published),0.7140291366969562,0.6593207296268196,80,0.8971168179610949
32,include,0.1,2. include-arm fitted rates,0.7109941976132785,0.6557929989292296,79,0.8942593587370298
33,include,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
33,include,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
33,include,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
34,include,0.35,3. tag-seeding prior means (external anchor),0.22248944505041313,0.26478973099142517,35,0.24786892574010297
34,include,0.35,1. exclude-arm fitted rates (as published),0.2208096355770474,0.2611116190858337,35,0.24786892574010297
34,include,0.35,2. include-arm fitted rates,0.2189422086390475,0.259037685750772,33,0.24130266988303276
35,include,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
35,include,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
35,include,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
36,exclude,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
36,exclude,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
36,exclude,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
38,exclude,0.25,3. tag-seeding prior means (external anchor),0.3160433466598645,0.34787725413904097,45,0.39196547456926306
38,exclude,0.25,1. exclude-arm fitted rates (as published),0.3116162399154101,0.34258196730537316,46,0.39407215235759174
38,exclude,0.25,2. include-arm fitted rates,0.3098683956646395,0.3403039297832473,44,0.3875058965005214
39,exclude,0.25,3. tag-seeding prior means (external anchor),0.3160433466598645,0.34787725413904097,45,0.39196547456926306
39,exclude,0.25,1. exclude-arm fitted rates (as published),0.3116162399154101,0.34258196730537316,46,0.39407215235759174
39,exclude,0.25,2. include-arm fitted rates,0.3098683956646395,0.3403039297832473,44,0.3875058965005214
40,include,0.15,3. tag-seeding prior means (external anchor),0.5882811682277894,0.6080001201730497,77,0.8420117645107862
40,include,0.15,1. exclude-arm fitted rates (as published),0.5799410412253615,0.5987817551168751,77,0.8420117645107862
40,include,0.15,2. include-arm fitted rates,0.5772509100112216,0.5954968278552685,75,0.8334109058897963
41,exclude,0.1,3. tag-seeding prior means (external anchor),0.725308349049955,0.6692290552411218,80,0.8971168179610949
41,exclude,0.1,1. exclude-arm fitted rates (as published),0.7140291366969562,0.6593207296268196,80,0.8971168179610949
41,exclude,0.1,2. include-arm fitted rates,0.7109941976132785,0.6557929989292296,79,0.8942593587370298
42,include,0.15,3. tag-seeding prior means (external anchor),0.5882811682277894,0.6080001201730497,77,0.8420117645107862
42,include,0.15,1. exclude-arm fitted rates (as published),0.5799410412253615,0.5987817551168751,77,0.8420117645107862
42,include,0.15,2. include-arm fitted rates,0.5772509100112216,0.5954968278552685,75,0.8334109058897963
43,include,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
43,include,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
43,include,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
44,include,0.1,3. tag-seeding prior means (external anchor),0.725308349049955,0.6692290552411218,80,0.8971168179610949
44,include,0.1,1. exclude-arm fitted rates (as published),0.7140291366969562,0.6593207296268196,80,0.8971168179610949
44,include,0.1,2. include-arm fitted rates,0.7109941976132785,0.6557929989292296,79,0.8942593587370298
45,include,0.1,3. tag-seeding prior means (external anchor),0.725308349049955,0.6692290552411218,80,0.8971168179610949
45,include,0.1,1. exclude-arm fitted rates (as published),0.7140291366969562,0.6593207296268196,80,0.8971168179610949
45,include,0.1,2. include-arm fitted rates,0.7109941976132785,0.6557929989292296,79,0.8942593587370298
46,include,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
46,include,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
46,include,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
47,exclude,0.1,3. tag-seeding prior means (external anchor),0.725308349049955,0.6692290552411218,80,0.8971168179610949
47,exclude,0.1,1. exclude-arm fitted rates (as published),0.7140291366969562,0.6593207296268196,80,0.8971168179610949
47,exclude,0.1,2. include-arm fitted rates,0.7109941976132785,0.6557929989292296,79,0.8942593587370298
49,include,0.3,3. tag-seeding prior means (external anchor),0.22587092801057246,0.2687730323177176,35,0.24786892574010297
49,include,0.3,1. exclude-arm fitted rates (as published),0.22412734671454823,0.2649842809181649,35,0.24786892574010297
49,include,0.3,2. include-arm fitted rates,0.22227618452525355,0.26297932560991627,33,0.24130266988303276
50,exclude,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
50,exclude,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
50,exclude,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
51,exclude,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
51,exclude,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
51,exclude,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
52,include,0.25,3. tag-seeding prior means (external anchor),0.3160433466598645,0.34787725413904097,45,0.39196547456926306
52,include,0.25,1. exclude-arm fitted rates (as published),0.3116162399154101,0.34258196730537316,46,0.39407215235759174
52,include,0.25,2. include-arm fitted rates,0.3098683956646395,0.3403039297832473,44,0.3875058965005214
53,exclude,0.15,3. tag-seeding prior means (external anchor),0.5882811682277894,0.6080001201730497,77,0.8420117645107862
53,exclude,0.15,1. exclude-arm fitted rates (as published),0.5799410412253615,0.5987817551168751,77,0.8420117645107862
53,exclude,0.15,2. include-arm fitted rates,0.5772509100112216,0.5954968278552685,75,0.8334109058897963
54,exclude,0.15,3. tag-seeding prior means (external anchor),0.5882811682277894,0.6080001201730497,77,0.8420117645107862
54,exclude,0.15,1. exclude-arm fitted rates (as published),0.5799410412253615,0.5987817551168751,77,0.8420117645107862
54,exclude,0.15,2. include-arm fitted rates,0.5772509100112216,0.5954968278552685,75,0.8334109058897963
55,exclude,0.15,3. tag-seeding prior means (external anchor),0.5882811682277894,0.6080001201730497,77,0.8420117645107862
55,exclude,0.15,1. exclude-arm fitted rates (as published),0.5799410412253615,0.5987817551168751,77,0.8420117645107862
55,exclude,0.15,2. include-arm fitted rates,0.5772509100112216,0.5954968278552685,75,0.8334109058897963
56,exclude,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
56,exclude,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
56,exclude,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
57,exclude,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
57,exclude,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
57,exclude,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
62,include,0.25,3. tag-seeding prior means (external anchor),0.3160433466598645,0.34787725413904097,45,0.39196547456926306
62,include,0.25,1. exclude-arm fitted rates (as published),0.3116162399154101,0.34258196730537316,46,0.39407215235759174
62,include,0.25,2. include-arm fitted rates,0.3098683956646395,0.3403039297832473,44,0.3875058965005214
63,include,0.15,3. tag-seeding prior means (external anchor),0.5882811682277894,0.6080001201730497,77,0.8420117645107862
63,include,0.15,1. exclude-arm fitted rates (as published),0.5799410412253615,0.5987817551168751,77,0.8420117645107862
63,include,0.15,2. include-arm fitted rates,0.5772509100112216,0.5954968278552685,75,0.8334109058897963
65,include,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
65,include,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
65,include,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
66,exclude,0.25,3. tag-seeding prior means (external anchor),0.3160433466598645,0.34787725413904097,45,0.39196547456926306
66,exclude,0.25,1. exclude-arm fitted rates (as published),0.3116162399154101,0.34258196730537316,46,0.39407215235759174
66,exclude,0.25,2. include-arm fitted rates,0.3098683956646395,0.3403039297832473,44,0.3875058965005214
68,exclude,0.25,3. tag-seeding prior means (external anchor),0.3160433466598645,0.34787725413904097,45,0.39196547456926306
68,exclude,0.25,1. exclude-arm fitted rates (as published),0.3116162399154101,0.34258196730537316,46,0.39407215235759174
68,exclude,0.25,2. include-arm fitted rates,0.3098683956646395,0.3403039297832473,44,0.3875058965005214
69,exclude,0.35,3. tag-seeding prior means (external anchor),0.22248944505041313,0.26478973099142517,35,0.24786892574010297
69,exclude,0.35,1. exclude-arm fitted rates (as published),0.2208096355770474,0.2611116190858337,35,0.24786892574010297
69,exclude,0.35,2. include-arm fitted rates,0.2189422086390475,0.259037685750772,33,0.24130266988303276
70,exclude,0.3,3. tag-seeding prior means (external anchor),0.22587092801057246,0.2687730323177176,35,0.24786892574010297
70,exclude,0.3,1. exclude-arm fitted rates (as published),0.22412734671454823,0.2649842809181649,35,0.24786892574010297
70,exclude,0.3,2. include-arm fitted rates,0.22227618452525355,0.26297932560991627,33,0.24130266988303276
71,include,0.25,3. tag-seeding prior means (external anchor),0.3160433466598645,0.34787725413904097,45,0.39196547456926306
71,include,0.25,1. exclude-arm fitted rates (as published),0.3116162399154101,0.34258196730537316,46,0.39407215235759174
71,include,0.25,2. include-arm fitted rates,0.3098683956646395,0.3403039297832473,44,0.3875058965005214
72,exclude,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
72,exclude,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
72,exclude,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
73,exclude,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
73,exclude,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
73,exclude,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
74,include,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
74,include,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
74,include,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
75,exclude,0.15,3. tag-seeding prior means (external anchor),0.5882811682277894,0.6080001201730497,77,0.8420117645107862
75,exclude,0.15,1. exclude-arm fitted rates (as published),0.5799410412253615,0.5987817551168751,77,0.8420117645107862
75,exclude,0.15,2. include-arm fitted rates,0.5772509100112216,0.5954968278552685,75,0.8334109058897963
76,exclude,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
76,exclude,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
76,exclude,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
78,include,0.15,3. tag-seeding prior means (external anchor),0.5882811682277894,0.6080001201730497,77,0.8420117645107862
78,include,0.15,1. exclude-arm fitted rates (as published),0.5799410412253615,0.5987817551168751,77,0.8420117645107862
78,include,0.15,2. include-arm fitted rates,0.5772509100112216,0.5954968278552685,75,0.8334109058897963
79,exclude,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
79,exclude,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
79,exclude,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
80,include,0.35,3. tag-seeding prior means (external anchor),0.22248944505041313,0.26478973099142517,35,0.24786892574010297
80,include,0.35,1. exclude-arm fitted rates (as published),0.2208096355770474,0.2611116190858337,35,0.24786892574010297
80,include,0.35,2. include-arm fitted rates,0.2189422086390475,0.259037685750772,33,0.24130266988303276
81,exclude,0.25,3. tag-seeding prior means (external anchor),0.3160433466598645,0.34787725413904097,45,0.39196547456926306
81,exclude,0.25,1. exclude-arm fitted rates (as published),0.3116162399154101,0.34258196730537316,46,0.39407215235759174
81,exclude,0.25,2. include-arm fitted rates,0.3098683956646395,0.3403039297832473,44,0.3875058965005214
82,exclude,0.25,3. tag-seeding prior means (external anchor),0.3160433466598645,0.34787725413904097,45,0.39196547456926306
82,exclude,0.25,1. exclude-arm fitted rates (as published),0.3116162399154101,0.34258196730537316,46,0.39407215235759174
82,exclude,0.25,2. include-arm fitted rates,0.3098683956646395,0.3403039297832473,44,0.3875058965005214
84,exclude,0.3,3. tag-seeding prior means (external anchor),0.22587092801057246,0.2687730323177176,35,0.24786892574010297
84,exclude,0.3,1. exclude-arm fitted rates (as published),0.22412734671454823,0.2649842809181649,35,0.24786892574010297
84,exclude,0.3,2. include-arm fitted rates,0.22227618452525355,0.26297932560991627,33,0.24130266988303276
85,exclude,0.3,3. tag-seeding prior means (external anchor),0.22587092801057246,0.2687730323177176,35,0.24786892574010297
85,exclude,0.3,1. exclude-arm fitted rates (as published),0.22412734671454823,0.2649842809181649,35,0.24786892574010297
85,exclude,0.3,2. include-arm fitted rates,0.22227618452525355,0.26297932560991627,33,0.24130266988303276
86,include,0.1,3. tag-seeding prior means (external anchor),0.725308349049955,0.6692290552411218,80,0.8971168179610949
86,include,0.1,1. exclude-arm fitted rates (as published),0.7140291366969562,0.6593207296268196,80,0.8971168179610949
86,include,0.1,2. include-arm fitted rates,0.7109941976132785,0.6557929989292296,79,0.8942593587370298
87,exclude,0.05,3. tag-seeding prior means (external anchor),0.7859567265388392,0.7180618334053582,84,0.9135021393826763
87,exclude,0.05,1. exclude-arm fitted rates (as published),0.7735410153422018,0.7065848853518906,84,0.9135021393826763
87,exclude,0.05,2. include-arm fitted rates,0.7709085699076681,0.7029560201781989,83,0.910644680158611
88,exclude,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
88,exclude,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
88,exclude,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
89,include,0.3,3. tag-seeding prior means (external anchor),0.22587092801057246,0.2687730323177176,35,0.24786892574010297
89,include,0.3,1. exclude-arm fitted rates (as published),0.22412734671454823,0.2649842809181649,35,0.24786892574010297
89,include,0.3,2. include-arm fitted rates,0.22227618452525355,0.26297932560991627,33,0.24130266988303276
90,exclude,0.15,3. tag-seeding prior means (external anchor),0.5882811682277894,0.6080001201730497,77,0.8420117645107862
90,exclude,0.15,1. exclude-arm fitted rates (as published),0.5799410412253615,0.5987817551168751,77,0.8420117645107862
90,exclude,0.15,2. include-arm fitted rates,0.5772509100112216,0.5954968278552685,75,0.8334109058897963
91,exclude,0.15,3. tag-seeding prior means (external anchor),0.5882811682277894,0.6080001201730497,77,0.8420117645107862
91,exclude,0.15,1. exclude-arm fitted rates (as published),0.5799410412253615,0.5987817551168751,77,0.8420117645107862
91,exclude,0.15,2. include-arm fitted rates,0.5772509100112216,0.5954968278552685,75,0.8334109058897963
92,include,0.05,3. tag-seeding prior means (external anchor),0.7859567265388392,0.7180618334053582,84,0.9135021393826763
92,include,0.05,1. exclude-arm fitted rates (as published),0.7735410153422018,0.7065848853518906,84,0.9135021393826763
92,include,0.05,2. include-arm fitted rates,0.7709085699076681,0.7029560201781989,83,0.910644680158611
93,exclude,0.25,3. tag-seeding prior means (external anchor),0.3160433466598645,0.34787725413904097,45,0.39196547456926306
93,exclude,0.25,1. exclude-arm fitted rates (as published),0.3116162399154101,0.34258196730537316,46,0.39407215235759174
93,exclude,0.25,2. include-arm fitted rates,0.3098683956646395,0.3403039297832473,44,0.3875058965005214
94,include,0.15,3. tag-seeding prior means (external anchor),0.5882811682277894,0.6080001201730497,77,0.8420117645107862
