member_id,group_id,K,mix_relrange_include,mix_relrange_highX_include,mix_frac_decreasing_include,argmin_tagtotal_include,argmin_objective_include,min_objective_include,mix_relrange_exclude,mix_relrange_highX_exclude,mix_frac_decreasing_exclude,argmin_tagtotal_exclude,argmin_objective_exclude,min_objective_exclude,shift_argmin_tagtotal,shift_argmin_objective
2,7,0.2,0.04147396072269688,0.0011518130501391567,0.38461538461538464,0.5222222222222221,0.5222222222222221,90692.540167015,0.07249867335823136,0.0036243641440771115,1.0,0.985,0.6888888888888889,90825.7480987948,0.46277777777777784,0.16666666666666674
2,17,0.2,0.09875325830212976,0.0005539558697866742,0.6923076923076923,0.8925000000000001,0.8,90707.8778038977,0.2702509167323215,0.015044997706354112,1.0,0.8462500000000001,0.7444444444444445,90826.7213960905,-0.04625000000000001,-0.05555555555555558
10,7,0.3,0.10177240436436616,0.0017644622272343213,0.46153846153846156,0.5777777777777777,0.5222222222222221,91187.5121837414,0.09844627735586794,0.005128780068711098,1.0,0.985,0.6333333333333333,91254.4014002671,0.40722222222222226,0.11111111111111116
10,17,0.3,0.0107413505886474,1.3397899853181966e-05,0.46153846153846156,0.93875,0.8,91197.0314973034,0.15146537048537215,0.008975271481020149,1.0,0.93875,0.8,91254.1222141474,0.0,0.0
12,7,0.05,0.023810368254608187,0.0003934423367614304,0.38461538461538464,0.4666666666666667,0.4666666666666667,94184.7648134444,0.03352010525202691,0.0017422807337430413,1.0,0.985,0.6333333333333333,94327.9283185023,0.5183333333333333,0.16666666666666663
12,17,0.05,0.22537465825678393,0.00856118283173483,1.0,0.985,0.8462500000000001,94197.3258596209,0.28454355143663235,0.01801413594783771,1.0,0.985,0.8462500000000001,94327.8130731418,0.0,0.0
