subset,arm,n,p_above_fmsy,p_below_lrp,median_f_fmsy,median_depletion
all that ran (n=88),include,41,0.3902439024390244,0.3170731707317073,0.928505106778087,0.232953243162794
all that ran (n=88),exclude,47,0.2127659574468085,0.1702127659574468,0.783699059561129,0.284465881562988
all that ran (n=88),all,88,0.29545454545454547,0.23863636363636365,0.8568986583331375,0.26513667010695197
converged only (n=80),include,34,0.29411764705882354,0.23529411764705882,0.9153319995040035,0.2554773852450475
converged only (n=80),exclude,46,0.1956521739130435,0.15217391304347827,0.783392207932483,0.29089569526971204
converged only (n=80),all,80,0.2375,0.1875,0.838575750287964,0.278343268806794
