member_id,arm,M0,K,tau,creep,h,arm_e,f_recent_fmsy,sb_recent_sb0,sb_recent_sbmsy,sb_recent_kt,sb0_recent_kt,recent_mean_depletion,agg_F,has_par,X7,X10,X14,X17,X18,X_priored_mean
1,include,0.0883028515366027,0.1,1.3,0.005,0.916195781737906,0.0,0.8110300081103,0.261870890365138,1.66188491048593,324.8985,1240.682,0.261294281106756,0.07278,True,0.515777638235011,0.597987327933572,0.500816409939551,0.809647631421786,0.846064056553572,0.6540586128166984
2,exclude,0.0703495861059744,0.2,1.2,0.005,0.952715284757023,1.0,0.783085356303837,0.308637799613852,1.81084976125512,663.6764375,2150.34075,0.306811034434357,0.04651,True,0.674622335825264,0.580808881019583,0.499431112574793,0.762999992752251,0.874687147302763,0.6785098938949308
3,include,0.0722767943826722,0.35,1.4,0.02,0.921008574278809,0.0,1.48898153662895,0.150327646951388,0.819645438483778,255.155625,1697.33,0.149413042983377,,False,,,,,,
4,exclude,0.108344057614506,0.15,1.2,0.025,0.929467540089388,1.0,0.530785562632696,0.363497283221544,2.417640625,348.14025,957.752,0.360983950117188,0.05856,True,0.675444526402901,0.619489531088471,0.504028447775373,0.849999238035065,0.965999653487233,0.7229922793578087
5,include,0.0779226059697055,0.3,1.2,0.015,0.823450060401092,0.0,1.29399585921325,0.156842829302016,0.867646950016442,263.8514375,1682.2665,0.156672892203683,0.0994,True,0.525186371171466,0.542810914471951,0.50230898142452,0.691287255868484,0.693391848241827,0.5909970742356496
6,include,0.0648330299057559,0.25,1.2,0.005,0.900847118561344,0.0,1.43988480921526,0.126475943243433,0.736775825346113,276.733,2188.02875,0.126631481974079,0.1025,True,0.503843362725139,0.524219451782672,0.499868203313451,0.645623143180552,0.683040429202125,0.5713189180407878
7,include,0.0986141793473077,0.35,1.4,0.005,0.914621909616371,0.0,0.722543352601156,0.289314270873158,1.85148880255941,303.8293125,1050.1705,0.287162466147549,0.07336,True,0.538169298607315,0.580206961431909,0.506814676980902,0.771804304134308,0.859078745996807,0.6512147974302481
8,include,0.0849554955455468,0.15,1.4,0.01,0.866396629481641,0.0,1.01471334348047,0.20265407611888,1.19291230226593,279.0221875,1376.83975,0.202273212164861,0.08901,True,0.523488901349429,0.57842145190409,0.497680143545701,0.769700829715055,0.820906355090945,0.638039536321044
9,exclude,0.0895217029940766,0.2,1.3,0.01,0.879444249940166,1.0,0.832639467110741,0.255884419395132,1.48269611111111,333.606625,1303.7395,0.254759903771857,0.07267,True,0.664442257262865,0.589548432398616,0.502300012818316,0.783536561531795,0.906237595314663,0.689212971865251
10,exclude,0.106788860563374,0.3,1.4,0.02,0.802381509931566,1.0,0.715307582260372,0.284465881562988,1.64613565256257,276.2215625,971.01825,0.282825461278873,0.07009,True,0.65733034379612,0.576159383024191,0.509767883510887,0.804987041285525,0.920664181398801,0.6937817666031048
11,exclude,0.0718897340504598,0.1,1.4,0.01,0.888738301598888,1.0,0.778210116731518,0.309810114091465,1.66423010328068,684.8306875,2210.48525,0.306861521011383,0.04459,True,0.660472767271178,0.616633014207114,0.500879902501402,0.839694040334373,0.929041904610743,0.709344325784962
12,exclude,0.0691962778307432,0.05,1.4,0.02,0.950068051981146,1.0,0.628930817610063,0.41846569014018,2.2096047846212,1169.5438125,2794.838,0.414837916731685,0.02823,True,0.659695411471645,0.611117193043008,0.50146100858546,0.857307582187031,0.937617819132526,0.713439802883934
14,include,0.0561650364615546,0.2,1.2,0.005,0.798761897930364,0.0,0.958772770853308,0.29883343176393,1.43393137573005,1104.844125,3697.1905,0.298561467602487,0.03264,True,0.496214962497131,0.550407792534292,0.49570807477771,0.714136869051701,0.729939191814359,0.5972813781350386
15,exclude,0.0711184972794447,0.35,1.4,0.025,0.862961384257733,1.0,1.34246207544637,0.138642722806958,0.792979423713512,263.5070625,1900.6195,0.138808961054086,0.1006,True,0.656823503198417,0.530951489770925,0.503784509596559,0.673309918350335,0.717226019237405,0.6164190880307282
16,include,0.0699654018084743,0.25,1.2,0.02,0.842086157448238,0.0,1.43000143000143,0.128808853984517,0.719144050802139,268.959875,2088.05425,0.129104425703955,,False,,,,,,
17,include,0.0630976089048196,0.15,1.3,0.02,0.962318088723012,0.0,0.856164383561644,0.304855957412126,1.6824289310415,827.0820625,2713.02575,0.302529391096321,,False,,,,,,
18,exclude,0.0805641581056603,0.2,1.4,0.01,0.868084063286185,1.0,1.08189981607703,0.189335562787377,1.08562197730655,291.8151875,1541.25925,0.189021540477627,0.0893,True,0.65644805337692,0.570964304981647,0.500191864100091,0.742632468631247,0.866911091481792,0.6674295565143394
19,exclude,0.0668607539465371,0.1,1.3,0.005,0.874661383118216,1.0,0.620732464307883,0.43870144965977,2.16255403014921,1405.876375,3204.63125,0.435633834364397,0.02459,True,0.667206561041306,0.613952563200613,0.501262757950184,0.847600801929346,0.943989826097285,0.7148025020437468
21,exclude,0.0959581470388003,0.15,1.4,0.025,0.839962630725593,1.0,0.702247191011236,0.297325508976436,1.67558666746526,349.6949375,1176.135,0.296489065595257,0.06343,True,0.658321778566315,0.612244438304557,0.506731978633746,0.824819443819156,0.931104809491444,0.7066444897630435
22,include,0.0968057014835817,0.15,1.3,0.015,0.781708091051952,0.0,0.823723228995058,0.259496770434845,1.41233315923863,304.2165625,1172.33275,0.25910543775755,0.07277,True,0.525076122250134,0.594323564243606,0.501754440668524,0.812045084624748,0.883367947471389,0.6633134318516802
23,exclude,0.0635450800856273,0.05,1.2,0.025,0.706251086046443,1.0,0.667556742323097,0.439595801912618,1.72165603532875,1754.3675,3990.865,0.437466977970148,0.01966,True,0.675723583601121,0.618214209718252,0.499577845430332,0.86637132702378,0.945983400853603,0.7211740733254176
24,exclude,0.0995839962657021,0.3,1.4,0.01,0.891782015878509,1.0,0.734214390602056,0.279515481144384,1.76971625766871,288.46375,1032.0135,0.277866355399744,0.07434,True,0.657651776058668,0.569573180925385,0.508681089096295,0.78186330085236,0.884180549944901,0.6803899793755217
25,include,0.0770791170864455,0.25,1.2,0.01,0.938848765182386,0.0,1.15127791848952,0.179541739676283,1.07492692605497,277.653625,1546.45725,0.178745809780604,0.09568,True,0.521765831859211,0.550198802861577,0.501981630634744,0.704935277285635,0.768410566225356,0.6094584217733046
27,include,0.0889048447406034,0.15,1.4,0.02,0.805811118293605,0.0,0.938967136150235,0.224843829068235,1.24648985629755,294.9195,1311.66375,0.224732840323468,0.07818,True,0.520707846286617,0.59038193539844,0.501047481561668,0.782890698475838,0.838779634368553,0.6467615192182232
29,include,0.0860258459041131,0.1,1.4,0.02,0.871404880987095,0.0,0.925925925925926,0.225449884206919,1.33617026633841,298.5004375,1324.02125,0.225071695843374,0.0784,True,0.517176526627213,0.597247693488488,0.501421053873146,0.797922855883702,0.830525956046194,0.6488588171837486
30,exclude,0.120155781738336,0.2,1.3,0.01,0.88720842919169,1.0,0.460829493087558,0.405589318160836,2.65134389013453,354.7498125,874.65275,0.401866583805821,0.05307,True,0.665108640260291,0.606870363521236,0.505076800799166,0.860301077684988,0.98657361792925,0.7247861000389861
31,exclude,0.0814891119639018,0.2,1.3,0.015,0.790834090920188,1.0,1.0680337498665,0.189299981656238,1.02677261306533,306.491625,1619.079,0.189624148810678,0.08227,True,0.665577324759353,0.5768698505089,0.501763787505613,0.750543178319963,0.877615838207923,0.6744739958603505
32,include,0.0824405378469274,0.1,1.4,0.015,0.955582324101094,0.0,0.914913083257091,0.232953243162794,1.41264387510879,324.6255625,1393.5224,0.231543934252515,0.07917,True,0.526767929514399,0.588970008026418,0.502206229940808,0.813920188569873,0.851722476652997,0.6567173665408991
33,include,0.0943588956153553,0.2,1.4,0.025,0.980467458423588,0.0,0.749625187406297,0.266846619397615,1.85277850589777,282.734,1059.5375,0.264856947008791,0.07778,True,0.525872713479689,0.586168699051729,0.501145797987731,0.800780526289988,0.887442367122376,0.6602820207863026
34,include,0.07878322006368,0.35,1.3,0.02,0.902357695484583,0.0,1.19217930376729,0.17481992711578,1.01185190422323,268.343125,1534.96875,0.173953531758859,0.09827,True,0.528315988024814,0.550396219119612,0.503454895657378,0.691767360178041,0.704742279125216,0.5957353484210122
35,include,0.0801107614463212,0.2,1.3,0.01,0.940898885193137,0.0,1.05730598435187,0.201562606183221,1.20943919474117,294.3775,1460.47675,0.200508717404133,0.08914,True,0.525777112531983,0.560294167058618,0.497104092618187,0.742311329189562,0.804076120386199,0.6259125643569098
36,exclude,0.0746328291058555,0.2,1.2,0.005,0.926002224185036,1.0,0.825763831544178,0.280036342232231,1.64079314918851,525.710125,1877.2925,0.278313988485341,0.05468,True,0.675289460111716,0.582385327138327,0.499501463633711,0.766941284722257,0.882952674970841,0.6814140421153704
37,include,0.0664634974306444,0.25,1.4,0.025,0.943029225334482,0.0,1.43967751223726,0.13177480814116,0.764586431904345,262.1766875,1989.58125,0.131504701084273,,False,,,,,,
38,exclude,0.0750330554653177,0.25,1.4,0.025,0.852065874766007,1.0,1.25391849529781,0.154849811311041,0.866332576706324,276.706625,1786.9355,0.154939529737011,0.09632,True,0.656011049292047,0.56282263157936,0.501702999663066,0.70661273942495,0.814208223572437,0.648271528706372
