member_id,arm,group_id,group_label,is_priored,penalty_wt,target_prop,rep_hat,gap_prop,v_est,gap_v,gap_v_frac,contact_prop,contact_v
1,include,1,RTTP/PTTP/pooled / LL.WEST.1/LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,0,1.0,0.5,0.252616726111087,0.737383273888913,412.83507668410454,587.1657679804739,0.5871652720227669,0,0
1,include,6,RTTP / PHID.2/PL.ALL.2,0,1.0,0.5,0.438897871086862,0.5511021289131379,553.6755009498069,446.32534371477163,0.44632496671988175,0,0
1,include,7,RTTP / PS.2,1,354.5,0.4962,0.515777638235011,0.474222361764989,602.0914171258278,397.9094275387507,0.39790909143903574,0,0
1,include,10,RTTP / PS.WEST.3,1,739.2,0.5121,0.597987327933572,0.392012672066428,651.4470766095733,348.5537680550052,0.3485534736442323,0,0
1,include,13,PTTP/pooled / PHID.2/PL.ALL.2,0,1.0,0.5,0.778421486409459,0.21157851359054103,760.8815564256876,239.11928823889093,0.23911908626346873,0,0
1,include,14,PTTP/pooled / PS.2,1,354.5,0.4962,0.500816409939551,0.489183590060449,592.8969116227902,407.1039330417883,0.40710358917580675,0,0
1,include,17,PTTP/pooled / PS.WEST.3,1,739.2,0.5121,0.809647631421786,0.18035236857821402,781.5248304516638,218.47601421291472,0.21847582967412013,0,0
1,include,18,PTTP/pooled / PS.EAST.3,1,231.2,0.5282,0.846064056553572,0.14393594344642802,807.1051562812812,192.89568838329728,0.19289552545127958,0,0
1,include,19,JPTP / LL.WEST.1,0,1.0,0.5,0.75036663902388,0.23963336097611998,743.042803382265,256.9580412823135,0.2569578242391412,0,0
1,include,20,JPTP / LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,0,1.0,0.5,0.220375954441657,0.769624045558343,381.77403026014696,618.2268144044315,0.618226292210581,0,0
1,include,23,JPTP / PS.JP.1/PL.JP.1,0,1.0,0.5,0.600773069511072,0.389226930488928,653.0986576643282,346.90218700025025,0.3469018939845082,0,0
1,include,29,JPTP / PS.WEST.3,0,1.0,0.5,0.146474262203534,0.843525737796466,294.2646051738019,705.7362394907766,0.7057356433808768,0,0
2,exclude,1,RTTP/PTTP/pooled / LL.WEST.1/LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,0,1.0,0.5,0.245383608638379,0.744616391361621,406.1334317426981,593.8674129218804,0.5938669113035361,0,0
2,exclude,6,RTTP / PHID.2/PL.ALL.2,0,1.0,0.5,0.674426172796461,0.315573827203539,696.7880176288919,303.2128270356866,0.30321257092276815,0,0
2,exclude,7,RTTP / PS.2,1,354.5,0.4962,0.674622335825264,0.315377664174736,696.9051242834286,303.09572038114993,0.3030954643671473,0,0
2,exclude,10,RTTP / PS.WEST.3,1,739.2,0.5121,0.580808881019583,0.40919111898041705,641.2449886982987,358.7558559662798,0.3587555529381719,0,0
2,exclude,13,PTTP/pooled / PHID.2/PL.ALL.2,0,1.0,0.5,0.542085960748082,0.447914039251918,618.0650589964482,381.9357856681303,0.38193546306077336,0,0
2,exclude,14,PTTP/pooled / PS.2,1,354.5,0.4962,0.499431112574793,0.490568887425207,592.0409224861281,407.95992217845037,0.40795957758944573,0,0
2,exclude,17,PTTP/pooled / PS.WEST.3,1,739.2,0.5121,0.762999992752251,0.22700000724774894,751.0064962903001,248.9943483742784,0.24899413805774973,0,0
2,exclude,18,PTTP/pooled / PS.EAST.3,1,231.2,0.5282,0.874687147302763,0.11531285269723701,828.8833243053311,171.11752035924735,0.17111737582246123,0,0
2,exclude,19,JPTP / LL.WEST.1,0,1.0,0.5,0.989999988965524,1.1034475999593951e-08,999.949662760462,0.051181904116447186,5.1181860884942235e-05,1,1
2,exclude,20,JPTP / LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,0,1.0,0.5,0.189749305752163,0.800250694247837,348.8818155115906,651.1190291529879,0.6511184791762721,0,0
2,exclude,23,JPTP / PS.JP.1/PL.JP.1,0,1.0,0.5,0.989999998680579,1.3194210168876452e-09,999.9831463299621,0.017698334616397915,1.7698319667254194e-05,1,1
2,exclude,29,JPTP / PS.WEST.3,0,1.0,0.5,0.190607581166056,0.799392418833944,349.8582498934427,650.1425947711358,0.6501420456191789,0,0
4,exclude,1,RTTP/PTTP/pooled / LL.WEST.1/LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,0,1.0,0.5,0.383107989288871,0.606892010711129,516.0654487221003,483.9353959424782,0.4839349871797362,0,0
4,exclude,6,RTTP / PHID.2/PL.ALL.2,0,1.0,0.5,0.85776502609439,0.13223497390561,815.7919329631817,184.2089117013968,0.18420875610678547,0,0
4,exclude,7,RTTP / PS.2,1,354.5,0.4962,0.675444526402901,0.314555473597099,697.3960452648779,302.6047993997006,0.30260454380036117,0,0
4,exclude,10,RTTP / PS.WEST.3,1,739.2,0.5121,0.619489531088471,0.37051046891152895,664.1834703114343,335.81737435314415,0.33581709070034277,0,0
4,exclude,13,PTTP/pooled / PHID.2/PL.ALL.2,0,1.0,0.5,0.78111866745025,0.20888133254974994,762.6281422409916,237.37270242358693,0.23737250192344264,0,0
