subset,n_include,n_exclude,include_share,smd_M0,smd_h,smd_K,smd_tau,smd_creep
all that ran (n=88),41,47,0.466,-0.076,-0.198,+0.044,+0.019,+0.047
converged only (n=80),34,46,0.425,-0.211,-0.068,+0.111,+0.017,+0.184
