member_id,group_id,arm,X,base_rate,design_arm,objective,rr_penalty,tag_mix,tag_post,agg_F,agg_F_final,agg_F_Fmsy,agg_F_Fmsy_final,SB_SBmsy,SB_SBmsy_final,SB_recent,SB_recent_final,MSY,F_at_MSY,SB_msy,seconds,ok
2,7,exclude,0.3,0.674622335825264,exclude,90935.0470440253,92.1984503047,1778.8256170835707,5529.366613376168,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.08042025566101,1
2,7,exclude,0.3555555555555555,0.674622335825264,exclude,90901.5737421483,85.5644861071,1752.494165853748,5528.858726908563,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.273924112319946,1
2,7,exclude,0.4111111111111111,0.674622335825264,exclude,90875.489131549,81.1187935146,1731.265634628474,5528.448340108457,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.176939725875854,1
2,7,exclude,0.4666666666666667,0.674622335825264,exclude,90855.6565236246,78.8613725269,1714.0283858655464,5528.110401915128,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.174314975738525,1
2,7,exclude,0.5222222222222221,0.674622335825264,exclude,90841.2795522255,78.7922231442,1700.0025936467903,5527.828372096608,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.331989526748657,1
2,7,exclude,0.5777777777777777,0.674622335825264,exclude,90831.7774011278,80.9113453664,1688.6189315326628,5527.590760868148,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.523959398269653,1
2,7,exclude,0.6333333333333333,0.674622335825264,exclude,90826.7128255804,85.2187391936,1679.4484577142553,5527.389265287044,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.926432132720947,1
2,7,exclude,0.6888888888888889,0.674622335825264,exclude,90825.7480987948,91.7144046257,1672.1596381679085,5527.217692587333,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.975594997406006,1
2,7,exclude,0.7444444444444445,0.674622335825264,exclude,90828.6167501987,100.398341663,1666.4907424444561,5527.0713026444455,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.174531936645508,1
2,7,exclude,0.8,0.674622335825264,exclude,90835.1047240325,111.270550305,1662.2314223455644,5526.946387894535,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.913867950439453,1
2,7,exclude,0.8462500000000001,0.674622335825264,exclude,90843.1399842192,121.990829711,1659.6361590004867,5526.856631976908,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.832633018493652,1
2,7,exclude,0.8925000000000001,0.674622335825264,exclude,90853.4776606137,134.22770443,1657.8152899234324,5526.778302670846,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.858675241470337,1
2,7,exclude,0.93875,0.674622335825264,exclude,90866.0450947046,147.981174461,1656.6973420644613,5526.710214493657,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.231602668762207,1
2,7,exclude,0.985,0.674622335825264,exclude,90880.7793003612,163.251239805,1656.2203415231288,5526.651355007918,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.881174564361572,1
2,7,include,0.3,0.674622335825264,exclude,93568.6366801078,92.1984503047,1537.0794077249386,5603.695887471248,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.737475633621216,1
2,7,include,0.3555555555555555,0.674622335825264,exclude,91384.7820769144,85.5644861071,1514.5820383555272,5602.626414068237,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.067577362060547,1
2,7,include,0.4111111111111111,0.674622335825264,exclude,90719.2155086532,81.1187935146,1492.4938077841766,5602.811112518725,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.990687370300293,1
2,7,include,0.4666666666666667,0.674622335825264,exclude,90694.358705409,78.8613725269,1478.9693632979884,5604.073730223344,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.9196298122406,1
2,7,include,0.5222222222222221,0.674622335825264,exclude,90692.540167015,78.7922231442,1475.4754527631214,5605.669755474425,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.916491508483887,1
2,7,include,0.5777777777777777,0.674622335825264,exclude,90696.2580279597,80.9113453664,1475.4718750775207,5607.129343072967,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.032170057296753,1
2,7,include,0.6333333333333333,0.674622335825264,exclude,90702.3676046818,85.2187391936,1475.9169976633586,5608.365064817425,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.914376258850098,1
2,7,include,0.6888888888888889,0.674622335825264,exclude,90710.5972341037,91.7144046257,1476.4900882024285,5609.422134450476,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.993372678756714,1
2,7,include,0.7444444444444445,0.674622335825264,exclude,90720.8839675205,100.398341663,1477.0884640776646,5610.336965733773,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.830115556716919,1
2,7,include,0.8,0.674622335825264,exclude,90733.218787553,111.270550305,1477.6723782819358,5611.137658309762,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.723450422286987,1
2,7,include,0.8462500000000001,0.674622335825264,exclude,90745.0551943413,121.990829711,1478.1356684259517,5611.732897360983,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.975457191467285,1
2,7,include,0.8925000000000001,0.674622335825264,exclude,90758.3237327151,134.22770443,1478.5743386572321,5612.273939482108,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.967287540435791,1
2,7,include,0.93875,0.674622335825264,exclude,90773.0322581144,147.981174461,1478.9874526390627,5612.768796771757,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.372371673583984,1
2,7,include,0.985,0.674622335825264,exclude,90789.1883683582,163.251239805,1479.3753903680145,5613.224041481027,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.47964096069336,1
2,17,exclude,0.3,0.762999992752251,exclude,91848.0392969772,76.5582303902,2118.370463512334,6118.454239867195,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,13.086338996887207,1
2,17,exclude,0.3555555555555555,0.762999992752251,exclude,91563.8106915365,61.4192318717,2015.5628933835574,5952.1722030557385,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.917537450790405,1
2,17,exclude,0.4111111111111111,0.762999992752251,exclude,91343.2406064715,50.8431963161,1932.8247786579254,5824.916268253376,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.16394567489624,1
