screen,member_id,arm,unit,is_priored,value,threshold,slack,flagged,note
upper-bound,9,exclude,group 19,0,0.713928,0.99,0.276072,0,
upper-bound,9,exclude,group 20,0,0.179041,0.99,0.810959,0,
upper-bound,9,exclude,group 23,0,0.99,0.99,1.45843e-09,1,at upper bound
upper-bound,9,exclude,group 29,0,0.204167,0.99,0.785833,0,
upper-bound,10,exclude,group 1,0,0.381829,0.99,0.608171,0,
upper-bound,10,exclude,group 6,0,0.793113,0.99,0.196887,0,
upper-bound,10,exclude,group 7,1,0.65733,0.99,0.33267,0,
upper-bound,10,exclude,group 10,1,0.576159,0.99,0.413841,0,
upper-bound,10,exclude,group 13,0,0.662247,0.99,0.327753,0,
upper-bound,10,exclude,group 14,1,0.509768,0.99,0.480232,0,
upper-bound,10,exclude,group 17,1,0.804987,0.99,0.185013,0,
upper-bound,10,exclude,group 18,1,0.920664,0.99,0.0693358,0,
upper-bound,10,exclude,group 19,0,0.963513,0.99,0.0264865,0,
upper-bound,10,exclude,group 20,0,0.228675,0.99,0.761325,0,
upper-bound,10,exclude,group 23,0,0.99,0.99,9.06031e-10,1,at upper bound
upper-bound,10,exclude,group 29,0,0.16085,0.99,0.82915,0,
upper-bound,11,exclude,group 1,0,0.257308,0.99,0.732692,0,
upper-bound,11,exclude,group 6,0,0.762073,0.99,0.227927,0,
upper-bound,11,exclude,group 7,1,0.660473,0.99,0.329527,0,
upper-bound,11,exclude,group 10,1,0.616633,0.99,0.373367,0,
upper-bound,11,exclude,group 13,0,0.561571,0.99,0.428429,0,
upper-bound,11,exclude,group 14,1,0.50088,0.99,0.48912,0,
upper-bound,11,exclude,group 17,1,0.839694,0.99,0.150306,0,
upper-bound,11,exclude,group 18,1,0.929042,0.99,0.0609581,0,
upper-bound,11,exclude,group 19,0,0.99,0.99,1.30005e-08,1,at upper bound
upper-bound,11,exclude,group 20,0,0.266611,0.99,0.723389,0,
upper-bound,11,exclude,group 23,0,0.99,0.99,1.55922e-09,1,at upper bound
upper-bound,11,exclude,group 29,0,0.416991,0.99,0.573009,0,
upper-bound,12,exclude,group 1,0,0.306548,0.99,0.683452,0,
upper-bound,12,exclude,group 6,0,0.915341,0.99,0.0746585,0,
upper-bound,12,exclude,group 7,1,0.659695,0.99,0.330305,0,
upper-bound,12,exclude,group 10,1,0.611117,0.99,0.378883,0,
