member_id,arm,is_exclude,K,M0,h,tau,creep,penalty,mean_mixing,rel_wt_mean_mixing,n_zero_mixing,max_mixing,n_mix_0,n_mix_1,n_mix_2,n_mix_3,n_mix_4,log_penalty
1,include,0.0,0.1,0.0883028515366027,0.916195781737906,1.3,0.005,94.8193500022,3.5918367346938775,3.0689570955077046,0,4,0,7,6,7,78,4.551973502379816
2,exclude,1.0,0.2,0.0703495861059744,0.952715284757023,1.2,0.005,89.8375121818,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.498002618392715
4,exclude,1.0,0.15,0.108344057614506,0.929467540089388,1.2,0.025,149.431650639,3.13265306122449,2.32684621634885,1,4,1,13,11,20,53,5.006839101927988
5,include,0.0,0.3,0.0779226059697055,0.823450060401092,1.2,0.015,31.6833921362,1.153061224489796,0.8800398528096938,14,4,14,72,3,1,8,3.4557926362204188
6,include,0.0,0.25,0.0648330299057559,0.900847118561344,1.2,0.005,19.5672580444,1.4591836734693877,1.1466755165724087,6,4,6,59,23,2,8,2.973857661443455
7,include,0.0,0.35,0.0986141793473077,0.914621909616371,1.4,0.005,79.9029852737,1.1020408163265305,0.8403258854848114,18,4,18,68,4,0,8,4.380813214698794
8,include,0.0,0.15,0.0849554955455468,0.866396629481641,1.4,0.01,72.7268227967,3.13265306122449,2.32684621634885,1,4,1,13,11,20,53,4.286710268305045
9,exclude,1.0,0.2,0.0895217029940766,0.879444249940166,1.3,0.01,102.567699492,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.630523063404442
10,exclude,1.0,0.3,0.106788860563374,0.802381509931566,1.4,0.02,112.094275874,1.153061224489796,0.8800398528096938,14,4,14,72,3,1,8,4.71934026609819
11,exclude,1.0,0.1,0.0718897340504598,0.888738301598888,1.4,0.01,134.801663426,3.5918367346938775,3.0689570955077046,0,4,0,7,6,7,78,4.9038045383575595
12,exclude,1.0,0.05,0.0691962778307432,0.950068051981146,1.4,0.02,144.397566724,3.857142857142857,3.5330674399859716,0,4,0,2,2,4,90,4.972570375374919
14,include,0.0,0.2,0.0561650364615546,0.798761897930364,1.2,0.005,41.4910777456,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,3.7254784100401843
15,exclude,1.0,0.35,0.0711184972794447,0.862961384257733,1.4,0.025,37.5338820871,1.1020408163265305,0.8403258854848114,18,4,18,68,4,0,8,3.6252440473684358
18,exclude,1.0,0.2,0.0805641581056603,0.868084063286185,1.4,0.01,78.0506067981,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.3573574214104
19,exclude,1.0,0.1,0.0668607539465371,0.874661383118216,1.3,0.005,141.973697472,3.5918367346938775,3.0689570955077046,0,4,0,7,6,7,78,4.955641811373815
21,exclude,1.0,0.15,0.0959581470388003,0.839962630725593,1.4,0.025,127.381302535,3.13265306122449,2.32684621634885,1,4,1,13,11,20,53,4.847184970475803
22,include,0.0,0.15,0.0968057014835817,0.781708091051952,1.3,0.015,101.658720435,3.13265306122449,2.32684621634885,1,4,1,13,11,20,53,4.621621325228939
23,exclude,1.0,0.05,0.0635450800856273,0.706251086046443,1.2,0.025,153.674697153,3.857142857142857,3.5330674399859716,0,4,0,2,2,4,90,5.03483801209323
24,exclude,1.0,0.3,0.0995839962657021,0.891782015878509,1.4,0.01,95.4855206887,1.153061224489796,0.8800398528096938,14,4,14,72,3,1,8,4.558974620166713
25,include,0.0,0.25,0.0770791170864455,0.938848765182386,1.2,0.01,42.7916004366,1.4591836734693877,1.1466755165724087,6,4,6,59,23,2,8,3.756341831846601
27,include,0.0,0.15,0.0889048447406034,0.805811118293605,1.4,0.02,81.9120327212,3.13265306122449,2.32684621634885,1,4,1,13,11,20,53,4.405645899740158
29,include,0.0,0.1,0.0860258459041131,0.871404880987095,1.4,0.02,87.7026026418,3.5918367346938775,3.0689570955077046,0,4,0,7,6,7,78,4.473951575583176
30,exclude,1.0,0.2,0.120155781738336,0.88720842919169,1.3,0.01,155.800184259,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,5.04857431609962
31,exclude,1.0,0.2,0.0814891119639018,0.790834090920188,1.3,0.015,84.1280026851,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.432339480464311
32,include,0.0,0.1,0.0824405378469274,0.955582324101094,1.4,0.015,97.042322966,3.5918367346938775,3.0689570955077046,0,4,0,7,6,7,78,4.575147202580937
33,include,0.0,0.2,0.0943588956153553,0.980467458423588,1.4,0.025,96.5049211151,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.569594003056086
34,include,0.0,0.35,0.07878322006368,0.902357695484583,1.3,0.02,33.1555450177,1.1020408163265305,0.8403258854848114,18,4,18,68,4,0,8,3.5012099731625717
35,include,0.0,0.2,0.0801107614463212,0.940898885193137,1.3,0.01,59.4129083646,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.084511515295004
36,exclude,1.0,0.2,0.0746328291058555,0.926002224185036,1.2,0.005,92.9155423307,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.531690933556236
38,exclude,1.0,0.25,0.0750330554653177,0.852065874766007,1.4,0.025,58.4414218479,1.4591836734693877,1.1466755165724087,6,4,6,59,23,2,8,4.068024916632729
39,exclude,1.0,0.25,0.0707338687749501,0.913060344746047,1.2,0.015,74.0151407234,1.4591836734693877,1.1466755165724087,6,4,6,59,23,2,8,4.304269676645821
40,include,0.0,0.15,0.062165477323398,0.924313504785243,1.3,0.025,52.8331972036,3.13265306122449,2.32684621634885,1,4,1,13,11,20,53,3.9671397280578935
41,exclude,1.0,0.1,0.0616760560118878,0.770846464986023,1.4,0.01,136.132583306,3.5918367346938775,3.0689570955077046,0,4,0,7,6,7,78,4.913629288101837
42,include,0.0,0.15,0.0600688525879382,0.668842859607944,1.2,0.025,49.4958595832,3.13265306122449,2.32684621634885,1,4,1,13,11,20,53,3.9018890212923862
43,include,0.0,0.2,0.0672550092674224,0.869753079504006,1.4,0.025,41.4864057296,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,3.7253658007922468
44,include,0.0,0.1,0.0901544630105169,0.882576408745769,1.4,0.01,87.7025508983,3.5918367346938775,3.0689570955077046,0,4,0,7,6,7,78,4.47395098559481
45,include,0.0,0.1,0.0626384444701712,0.815170286195679,1.3,0.005,63.2230356101,3.5918367346938775,3.0689570955077046,0,4,0,7,6,7,78,4.146668722244961
