member_id,arm,K,group_id,n_in_window,n_recaptured,psi
49,include,0.3,10,121.0,298.0,0.40604026845637586
49,include,0.3,6,45.0,47.0,0.9574468085106383
49,include,0.3,1,91.0,414.0,0.21980676328502416
49,include,0.3,11,0.0,0.0,
49,include,0.3,2,0.0,0.0,
49,include,0.3,17,458.0,3467.0,0.1321026824343813
49,include,0.3,18,477.0,3117.0,0.1530317613089509
49,include,0.3,14,3.0,6.0,0.5
49,include,0.3,13,114.0,129.0,0.8837209302325582
49,include,0.3,16,0.0,0.0,
49,include,0.3,23,206.0,372.0,0.553763440860215
49,include,0.3,19,1.0,59.0,0.01694915254237288
49,include,0.3,20,0.0,10.0,0.0
49,include,0.3,29,18.0,18.0,1.0
50,exclude,0.2,7,320.0,322.0,0.9937888198757764
50,exclude,0.2,10,175.0,298.0,0.587248322147651
50,exclude,0.2,6,45.0,47.0,0.9574468085106383
50,exclude,0.2,1,162.0,414.0,0.391304347826087
50,exclude,0.2,11,0.0,0.0,
50,exclude,0.2,2,0.0,0.0,
50,exclude,0.2,17,1210.0,3467.0,0.3490049033746755
50,exclude,0.2,18,1264.0,3117.0,0.4055181264035932
50,exclude,0.2,14,5.0,6.0,0.8333333333333334
50,exclude,0.2,13,116.0,129.0,0.8992248062015504
50,exclude,0.2,16,0.0,0.0,
50,exclude,0.2,23,285.0,372.0,0.7661290322580645
50,exclude,0.2,19,5.0,59.0,0.0847457627118644
50,exclude,0.2,20,0.0,10.0,0.0
50,exclude,0.2,29,18.0,18.0,1.0
51,exclude,0.2,7,320.0,322.0,0.9937888198757764
51,exclude,0.2,10,175.0,298.0,0.587248322147651
51,exclude,0.2,6,45.0,47.0,0.9574468085106383
51,exclude,0.2,1,162.0,414.0,0.391304347826087
51,exclude,0.2,11,0.0,0.0,
51,exclude,0.2,2,0.0,0.0,
51,exclude,0.2,17,1210.0,3467.0,0.3490049033746755
51,exclude,0.2,18,1264.0,3117.0,0.4055181264035932
51,exclude,0.2,14,5.0,6.0,0.8333333333333334
51,exclude,0.2,13,116.0,129.0,0.8992248062015504
51,exclude,0.2,16,0.0,0.0,
51,exclude,0.2,23,285.0,372.0,0.7661290322580645
51,exclude,0.2,19,5.0,59.0,0.0847457627118644
51,exclude,0.2,20,0.0,10.0,0.0
