member_id,arm,group_id,group_label,fisheries,n_release_groups,n_cells,n_cells_active,rep_hat,target_prop,penalty_wt,is_priored,signed_dev,abs_dev,contribution
78,include,17,PTTP/pooled / PS.WEST.3,"25,27",47,94,94,0.766117819406,0.5121,739.2,1,0.254017819406,0.254017819406,47.696918864
78,include,18,PTTP/pooled / PS.EAST.3,"26,28",47,94,94,0.781484550634,0.5282,231.2,1,0.253284550634,0.253284550634,14.832188302
78,include,19,JPTP / LL.WEST.1,1,37,37,37,0.989999986203,0.5,1,0,0.489999986203,0.489999986203,0.240099986479
78,include,20,JPTP / LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"2,4-10",37,296,296,0.189231558695,0.5,1,0,-0.310768441305,0.310768441305,0.0965770241112
78,include,23,JPTP / PS.JP.1/PL.JP.1,12-13,37,74,74,0.989999997141,0.5,1,0,0.489999997141,0.489999997141,0.240099997199
78,include,29,JPTP / PS.WEST.3,"25,27",37,74,74,0.131648122333,0.5,1,0,-0.368351877667,0.368351877667,0.135683105781
79,exclude,1,RTTP/PTTP/pooled / LL.WEST.1/LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"1-2,4-10",62,558,558,0.235530485202,0.5,1,0,-0.264469514798,0.264469514798,0.0699441242575
79,exclude,6,RTTP / PHID.2/PL.ALL.2,"14-18,21-22",15,105,105,0.717207299446,0.5,1,0,0.217207299446,0.217207299446,0.0471790109325
79,exclude,7,RTTP / PS.2,19-20,15,30,30,0.657916870655,0.4962,354.5,1,0.161716870655,0.161716870655,9.27100674725
79,exclude,10,RTTP / PS.WEST.3,"25,27",15,30,30,0.578519577765,0.5121,739.2,1,0.0664195777651,0.0664195777651,3.26102538152
79,exclude,13,PTTP/pooled / PHID.2/PL.ALL.2,"14-18,21-22",47,329,329,0.502872291204,0.5,1,0,0.0028722912042,0.0028722912042,8.25005676174e-06
79,exclude,14,PTTP/pooled / PS.2,19-20,47,94,94,0.500095152331,0.4962,354.5,1,0.00389515233099,0.00389515233099,0.00537854904113
79,exclude,17,PTTP/pooled / PS.WEST.3,"25,27",47,94,94,0.739527223569,0.5121,739.2,1,0.227427223569,0.227427223569,38.2337465814
79,exclude,18,PTTP/pooled / PS.EAST.3,"26,28",47,94,94,0.843854999228,0.5282,231.2,1,0.315654999228,0.315654999228,23.0363237579
79,exclude,19,JPTP / LL.WEST.1,1,37,37,37,0.989999994806,0.5,1,0,0.489999994806,0.489999994806,0.24009999491
79,exclude,20,JPTP / LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"2,4-10",37,296,296,0.348447550026,0.5,1,0,-0.151552449974,0.151552449974,0.0229681450931
79,exclude,23,JPTP / PS.JP.1/PL.JP.1,12-13,37,74,74,0.989999998847,0.5,1,0,0.489999998847,0.489999998847,0.240099998871
79,exclude,29,JPTP / PS.WEST.3,"25,27",37,74,74,0.194227979167,0.5,1,0,-0.305772020833,0.305772020833,0.0934965287244
80,include,1,RTTP/PTTP/pooled / LL.WEST.1/LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"1-2,4-10",62,558,558,0.275629958034,0.5,1,0,-0.224370041966,0.224370041966,0.0503419157318
80,include,6,RTTP / PHID.2/PL.ALL.2,"14-18,21-22",15,105,105,0.430059875344,0.5,1,0,-0.0699401246564,0.0699401246564,0.00489162103695
80,include,7,RTTP / PS.2,19-20,15,30,30,0.536933608893,0.4962,354.5,1,0.040733608893,0.040733608893,0.588195933727
80,include,10,RTTP / PS.WEST.3,"25,27",15,30,30,0.574416543019,0.5121,739.2,1,0.062316543019,0.062316543019,2.87057345382
80,include,13,PTTP/pooled / PHID.2/PL.ALL.2,"14-18,21-22",47,329,329,0.737065155265,0.5,1,0,0.237065155265,0.237065155265,0.0561998878406
80,include,14,PTTP/pooled / PS.2,19-20,47,94,94,0.505658284649,0.4962,354.5,1,0.00945828464859,0.00945828464859,0.031713268141
80,include,17,PTTP/pooled / PS.WEST.3,"25,27",47,94,94,0.768084405219,0.5121,739.2,1,0.255984405219,0.255984405219,48.4383092166
80,include,18,PTTP/pooled / PS.EAST.3,"26,28",47,94,94,0.834176521798,0.5282,231.2,1,0.305976521798,0.305976521798,21.6453212934
80,include,19,JPTP / LL.WEST.1,1,37,37,37,0.625144885307,0.5,1,0,0.125144885307,0.125144885307,0.0156612423185
80,include,20,JPTP / LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"2,4-10",37,296,296,0.157397443626,0.5,1,0,-0.342602556374,0.342602556374,0.117376511634
80,include,23,JPTP / PS.JP.1/PL.JP.1,12-13,37,74,74,0.989999998868,0.5,1,0,0.489999998868,0.489999998868,0.240099998891
80,include,29,JPTP / PS.WEST.3,"25,27",37,74,74,0.142364509079,0.5,1,0,-0.357635490921,0.357635490921,0.127903144366
81,exclude,1,RTTP/PTTP/pooled / LL.WEST.1/LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"1-2,4-10",62,558,558,0.211793763245,0.5,1,0,-0.288206236755,0.288206236755,0.0830628349046
81,exclude,6,RTTP / PHID.2/PL.ALL.2,"14-18,21-22",15,105,105,0.612171942321,0.5,1,0,0.112171942321,0.112171942321,0.0125825446441
81,exclude,7,RTTP / PS.2,19-20,15,30,30,0.664621999016,0.4962,354.5,1,0.168421999016,0.168421999016,10.0557362773
81,exclude,10,RTTP / PS.WEST.3,"25,27",15,30,30,0.567578788874,0.5121,739.2,1,0.0554787888741,0.0554787888741,2.27518073424
81,exclude,13,PTTP/pooled / PHID.2/PL.ALL.2,"14-18,21-22",47,329,329,0.465725706414,0.5,1,0,-0.0342742935857,0.0342742935857,0.0011747272008
81,exclude,14,PTTP/pooled / PS.2,19-20,47,94,94,0.501655616459,0.4962,354.5,1,0.00545561645944,0.00545561645944,0.0105512497127
81,exclude,17,PTTP/pooled / PS.WEST.3,"25,27",47,94,94,0.716155128693,0.5121,739.2,1,0.204055128693,0.204055128693,30.7791759076
81,exclude,18,PTTP/pooled / PS.EAST.3,"26,28",47,94,94,0.801486493737,0.5282,231.2,1,0.273286493737,0.273286493737,17.2672893708
81,exclude,19,JPTP / LL.WEST.1,1,37,37,37,0.989999959991,0.5,1,0,0.489999959991,0.489999959991,0.240099960791
81,exclude,20,JPTP / LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"2,4-10",37,296,296,0.224211113679,0.5,1,0,-0.275788886321,0.275788886321,0.0760595098183
81,exclude,23,JPTP / PS.JP.1/PL.JP.1,12-13,37,74,74,0.989999998988,0.5,1,0,0.489999998988,0.489999998988,0.240099999008
81,exclude,29,JPTP / PS.WEST.3,"25,27",37,74,74,0.167534478873,0.5,1,0,-0.332465521127,0.332465521127,0.110533322738
82,exclude,1,RTTP/PTTP/pooled / LL.WEST.1/LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"1-2,4-10",62,558,558,0.351182383863,0.5,1,0,-0.148817616137,0.148817616137,0.0221466828727
82,exclude,6,RTTP / PHID.2/PL.ALL.2,"14-18,21-22",15,105,105,0.776292323329,0.5,1,0,0.276292323329,0.276292323329,0.0763374479305
82,exclude,7,RTTP / PS.2,19-20,15,30,30,0.657854798544,0.4962,354.5,1,0.161654798544,0.161654798544,9.26389109486
82,exclude,10,RTTP / PS.WEST.3,"25,27",15,30,30,0.592300652875,0.5121,739.2,1,0.0802006528747,0.0802006528747,4.75464137815
82,exclude,13,PTTP/pooled / PHID.2/PL.ALL.2,"14-18,21-22",47,329,329,0.64297695029,0.5,1,0,0.14297695029,0.14297695029,0.0204424083143
82,exclude,14,PTTP/pooled / PS.2,19-20,47,94,94,0.506180038117,0.4962,354.5,1,0.00998003811687,0.00998003811687,0.0353086115086
82,exclude,17,PTTP/pooled / PS.WEST.3,"25,27",47,94,94,0.804558993061,0.5121,739.2,1,0.292458993061,0.292458993061,63.2254485303
82,exclude,18,PTTP/pooled / PS.EAST.3,"26,28",47,94,94,0.920162510262,0.5282,231.2,1,0.391962510262,0.391962510262,35.5203217051
82,exclude,19,JPTP / LL.WEST.1,1,37,37,37,0.821278883074,0.5,1,0,0.321278883074,0.321278883074,0.103220120709
82,exclude,20,JPTP / LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"2,4-10",37,296,296,0.191315442239,0.5,1,0,-0.308684557761,0.308684557761,0.0952861562003
82,exclude,23,JPTP / PS.JP.1/PL.JP.1,12-13,37,74,74,0.989999999043,0.5,1,0,0.489999999043,0.489999999043,0.240099999062
82,exclude,29,JPTP / PS.WEST.3,"25,27",37,74,74,0.212985568049,0.5,1,0,-0.287014431951,0.287014431951,0.082377284148
84,exclude,1,RTTP/PTTP/pooled / LL.WEST.1/LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"1-2,4-10",62,558,558,0.249966890549,0.5,1,0,-0.250033109451,0.250033109451,0.062516555822
84,exclude,6,RTTP / PHID.2/PL.ALL.2,"14-18,21-22",15,105,105,0.608949682906,0.5,1,0,0.108949682906,0.108949682906,0.0118700334052
84,exclude,7,RTTP / PS.2,19-20,15,30,30,0.67432344256,0.4962,354.5,1,0.17812344256,0.17812344256,11.2475620998
84,exclude,10,RTTP / PS.WEST.3,"25,27",15,30,30,0.548846377551,0.5121,739.2,1,0.0367463775511,0.0367463775511,0.998138997706
84,exclude,13,PTTP/pooled / PHID.2/PL.ALL.2,"14-18,21-22",47,329,329,0.527798908315,0.5,1,0,0.0277989083148,0.0277989083148,0.000772779303496
84,exclude,14,PTTP/pooled / PS.2,19-20,47,94,94,0.504344283684,0.4962,354.5,1,0.0081442836839,0.0081442836839,0.0235137569586
84,exclude,17,PTTP/pooled / PS.WEST.3,"25,27",47,94,94,0.7273342055,0.5121,739.2,1,0.2152342055,0.2152342055,34.24400417
84,exclude,18,PTTP/pooled / PS.EAST.3,"26,28",47,94,94,0.794957622153,0.5282,231.2,1,0.266757622153,0.266757622153,16.4521062195
84,exclude,19,JPTP / LL.WEST.1,1,37,37,37,0.543280434843,0.5,1,0,0.0432804348435,0.0432804348435,0.00187319604024
84,exclude,20,JPTP / LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"2,4-10",37,296,296,0.133603769639,0.5,1,0,-0.366396230361,0.366396230361,0.134246197623
